time_band,group_id,size
10:20 - 10:30,1,1
10:30 - 10:40,2,2
10:40 - 10:50,3,3
10:50 - 11:00,4,1
10:50 - 11:00,5,1
10:50 - 11:00,6,2
10:50 - 11:00,7,2
10:50 - 11:00,8,2
11:00 - 11:10,9,1
11:00 - 11:10,10,1
11:00 - 11:10,11,2
11:00 - 11:10,12,2
11:00 - 11:10,13,2
11:00 - 11:10,14,1
11:00 - 11:10,15,2
11:00 - 11:10,16,2
11:00 - 11:10,17,2
11:00 - 11:10,18,3
11:00 - 11:10,19,2
11:10 - 11:20,20,2
11:10 - 11:20,21,3
11:10 - 11:20,22,2
11:10 - 11:20,23,4
11:10 - 11:20,24,2
11:10 - 11:20,25,1
11:10 - 11:20,26,2
11:10 - 11:20,27,1
11:10 - 11:20,28,2
11:10 - 11:20,29,2
11:10 - 11:20,30,2
11:10 - 11:20,31,2
11:10 - 11:20,32,2
11:10 - 11:20,33,1
11:10 - 11:20,34,1
11:20 - 11:30,35,2
11:20 - 11:30,36,2
11:20 - 11:30,37,2
11:20 - 11:30,38,2
11:20 - 11:30,39,3
11:20 - 11:30,40,2
11:20 - 11:30,41,2
11:20 - 11:30,42,2
11:20 - 11:30,43,4
11:20 - 11:30,44,1
11:20 - 11:30,45,2
11:20 - 11:30,46,2
11:20 - 11:30,47,2
11:20 - 11:30,48,2
11:20 - 11:30,49,1
11:20 - 11:30,50,3
11:30 - 11:40,51,2
11:30 - 11:40,52,2
11:30 - 11:40,53,2
11:30 - 11:40,54,1
11:30 - 11:40,55,3
11:30 - 11:40,56,1
11:30 - 11:40,57,2
11:30 - 11:40,58,2
11:30 - 11:40,59,5
11:30 - 11:40,60,2
11:30 - 11:40,61,1
11:30 - 11:40,62,2
11:30 - 11:40,63,1
11:30 - 11:40,64,2
11:30 - 11:40,65,5
11:30 - 11:40,66,5
11:30 - 11:40,67,2
11:40 - 11:50,68,1
11:40 - 11:50,69,1
11:40 - 11:50,70,2
11:40 - 11:50,71,1
11:40 - 11:50,72,3
11:40 - 11:50,73,2
11:40 - 11:50,74,2
11:40 - 11:50,75,2
11:40 - 11:50,76,2
11:40 - 11:50,77,2
11:40 - 11:50,78,2
11:40 - 11:50,79,2
11:40 - 11:50,80,2
11:40 - 11:50,81,4
11:40 - 11:50,82,1
11:40 - 11:50,83,2
11:40 - 11:50,84,2
11:50 - 12:00,85,2
11:50 - 12:00,86,2
11:50 - 12:00,87,2
11:50 - 12:00,88,2
11:50 - 12:00,89,2
11:50 - 12:00,90,5
11:50 - 12:00,91,1
11:50 - 12:00,92,1
11:50 - 12:00,93,1
11:50 - 12:00,94,2
11:50 - 12:00,95,2
11:50 - 12:00,96,2
11:50 - 12:00,97,2
12:00 - 12:10,98,3
12:00 - 12:10,99,4
12:00 - 12:10,100,5
12:10 - 12:20,101,2
12:10 - 12:20,102,2
12:10 - 12:20,103,2
12:10 - 12:20,104,2
12:10 - 12:20,105,3
12:20 - 12:30,106,2
12:20 - 12:30,107,2
12:20 - 12:30,108,2
12:20 - 12:30,109,2
12:20 - 12:30,110,2
12:20 - 12:30,111,2
12:20 - 12:30,112,2
12:30 - 12:40,113,1
12:30 - 12:40,114,1
12:30 - 12:40,115,2
12:30 - 12:40,116,4
12:30 - 12:40,117,2
12:30 - 12:40,118,2
12:30 - 12:40,119,5
12:40 - 12:50,120,2
12:40 - 12:50,121,2
12:40 - 12:50,122,2
12:40 - 12:50,123,1
12:40 - 12:50,124,2
12:40 - 12:50,125,2
12:40 - 12:50,126,3
12:40 - 12:50,127,2
12:40 - 12:50,128,1
12:40 - 12:50,129,3
12:40 - 12:50,130,5
12:50 - 13:00,131,2
12:50 - 13:00,132,2
12:50 - 13:00,133,3
12:50 - 13:00,134,4
12:50 - 13:00,135,1
12:50 - 13:00,136,2
12:50 - 13:00,137,2
12:50 - 13:00,138,2
12:50 - 13:00,139,1
12:50 - 13:00,140,1
12:50 - 13:00,141,1
12:50 - 13:00,142,3
12:50 - 13:00,143,1
12:50 - 13:00,144,5
13:00 - 13:10,145,3
13:00 - 13:10,146,2
13:00 - 13:10,147,2
13:00 - 13:10,148,2
13:00 - 13:10,149,1
13:00 - 13:10,150,2
13:00 - 13:10,151,1
13:00 - 13:10,152,1
13:00 - 13:10,153,2
13:00 - 13:10,154,3
13:00 - 13:10,155,2
13:00 - 13:10,156,1
13:00 - 13:10,157,2
13:00 - 13:10,158,2
13:00 - 13:10,159,5
13:00 - 13:10,160,3
13:00 - 13:10,161,1
13:00 - 13:10,162,2
13:00 - 13:10,163,2
13:00 - 13:10,164,2
13:10 - 13:20,165,4
13:10 - 13:20,166,2
13:10 - 13:20,167,2
13:10 - 13:20,168,2
13:10 - 13:20,169,3
13:10 - 13:20,170,2
13:10 - 13:20,171,2
13:10 - 13:20,172,2
13:10 - 13:20,173,1
13:10 - 13:20,174,1
13:10 - 13:20,175,2
13:10 - 13:20,176,2
13:10 - 13:20,177,3
13:10 - 13:20,178,2
13:10 - 13:20,179,2
13:10 - 13:20,180,2
13:10 - 13:20,181,1
13:10 - 13:20,182,1
13:10 - 13:20,183,5
13:20 - 13:30,184,2
13:20 - 13:30,185,2
13:20 - 13:30,186,1
13:20 - 13:30,187,2
13:20 - 13:30,188,2
13:20 - 13:30,189,1
13:20 - 13:30,190,2
13:20 - 13:30,191,2
13:20 - 13:30,192,2
13:20 - 13:30,193,2
13:20 - 13:30,194,4
13:20 - 13:30,195,4
13:20 - 13:30,196,2
13:20 - 13:30,197,1
13:20 - 13:30,198,2
13:20 - 13:30,199,2
13:20 - 13:30,200,3
13:20 - 13:30,201,3
13:20 - 13:30,202,2
13:20 - 13:30,203,2
13:20 - 13:30,204,2
13:20 - 13:30,205,2
13:20 - 13:30,206,2
13:20 - 13:30,207,3
13:30 - 13:40,208,3
13:30 - 13:40,209,5
13:30 - 13:40,210,2
13:30 - 13:40,211,3
13:30 - 13:40,212,1
13:30 - 13:40,213,2
13:30 - 13:40,214,2
13:30 - 13:40,215,2
13:30 - 13:40,216,1
13:30 - 13:40,217,2
13:30 - 13:40,218,1
13:30 - 13:40,219,2
13:30 - 13:40,220,2
13:30 - 13:40,221,1
13:30 - 13:40,222,2
13:30 - 13:40,223,2
13:30 - 13:40,224,2
13:30 - 13:40,225,2
13:30 - 13:40,226,2
13:30 - 13:40,227,1
13:30 - 13:40,228,2
13:30 - 13:40,229,2
13:40 - 13:50,230,1
13:40 - 13:50,231,2
13:40 - 13:50,232,3
13:40 - 13:50,233,2
13:40 - 13:50,234,2
13:40 - 13:50,235,2
13:40 - 13:50,236,2
13:40 - 13:50,237,2
13:40 - 13:50,238,2
13:40 - 13:50,239,4
13:40 - 13:50,240,3
13:40 - 13:50,241,2
13:40 - 13:50,242,2
13:40 - 13:50,243,3
13:40 - 13:50,244,2
13:40 - 13:50,245,1
13:40 - 13:50,246,2
13:40 - 13:50,247,4
13:50 - 14:00,248,2
13:50 - 14:00,249,2
13:50 - 14:00,250,3
13:50 - 14:00,251,3
13:50 - 14:00,252,4
13:50 - 14:00,253,1
13:50 - 14:00,254,1
13:50 - 14:00,255,1
13:50 - 14:00,256,4
13:50 - 14:00,257,3
13:50 - 14:00,258,2
13:50 - 14:00,259,2
13:50 - 14:00,260,1
13:50 - 14:00,261,3
14:00 - 14:10,262,2
14:00 - 14:10,263,2
14:00 - 14:10,264,3
14:00 - 14:10,265,4
14:00 - 14:10,266,3
14:00 - 14:10,267,5
